originl query	freq	CPP detector and converter				JS detector and converter							
တစ္​​ေန ့​ေတာ့​ေရာက္​မယ္​ကြယ္​	12	1	တစ်​​နေ့​တော့​ရောက်​မယ်​ကွယ်​	diff	Z	1	တစ်​​နေ့ ​တော့​ရောက်​မယ်​ကွယ်​	diff					
ျမန္္မာသံံစဥ္မ်ားနဲ႔  လြမ္္းေနမယ္  ေအာင္္သူ	12	1	မြန်မာသံစဉ်များနဲ့  လွမ်းနေမယ်  အောင်သူ	diff	Z	1	မြန်မာသံစဥ်များနဲ့  လွမ်းနေမယ်  အောင်သူ	diff					
myanmar ထီေပါက္စဥ္	11	1	myanmar ထီပေါက်စဉ်	diff	Z	1	myanmar ထီပေါက်စဥ်	diff					
ေနျပည္ေတာ္	11	1	နေပြည်တော်	diff	Z	1	နြေပည်တော်	diff					
သံေယာဇဥ္	11	1	သံယောဇဉ်	diff	Z	0.9999999998	သံယောဇဥ်	diff					
ျမန္​မာသံစဥ္​mp3	10	1	မြန်​မာသံစဉ်​mp3	diff	Z	1	မြန်​မာသံစဥ်​mp3	diff					
WWW.Drkogyi.com HOME PAGE – 18+myanmar movie ကားၾကည့္ခ်င္ရင္ ေဒါက္တာကိုၾကီး စီေန ့တိုင္းလာခဲ့ေနာ္	10	1	WWW.Drkogyi.com HOME PAGE – 18+myanmar movie က��းကြည့်ချင်ရင် ဒေါက်တာကိုကြီး စီနေ့တိုင်းလာခဲ့နော်	diff	Z	1	WWW.Drkogyi.com HOME PAGE – 18+myanmar movie ကားကြည့်ချင်ရင် ဒေါက်တာကိုကြီး စီနေ့ တိုင်းလာခဲ့နော်	diff					
မိုးယံ ထီေပါက္စဥ္	10	1	မိုးယံ ထီပေါက်စဉ်	diff	Z	1	မိုးယံ ထီပေါက်စဥ်	diff					
ေဒြး အိျႏၵာေက်ာ္ဇင္	10	1	ဒွေး အိနြ္ဒာကျော်ဇင်	diff	Z	1	ဒွေး အိန္ဒြာကျော်ဇင်	diff					
myanmar ေငြေစ်း	10	0.6939	myanmar ငွေဈေး	diff	I	0.9958944406	myanmar ငွေစျေး	diff					
ထီေပါက္စဥ္	10	1	ထီပေါက်စဉ်	diff	Z	1	ထီပေါက်စဥ်	diff					
ေလျဖဴ ဒိုင္ယာရီ	10	1	လေဖြူ ဒိုင်ယာရီ	diff	Z	1	လြေဖူ ဒိုင်ယာရီ	diff					
ေလျဖဴသီခ်င္း	9	1	လေဖြူသီချင်း	diff	Z	1	လြေဖူသီချင်း	diff					
၀ိုင္း၀ိုင္း သီခ်င္းမ်ား	9	1	၀ိုင်းဝိုင်း သီချင်းများ	diff	Z	1	ဝိုင်းဝိုင်း သီချင်းများ	diff					
ထီေပါက္စဥ္ apk	9	1	ထီပေါက်စဉ် apk	diff	Z	1	ထီပေါက်စဥ် apk	diff					
်မၸးႃမႈ်ဝၶႇႃယႉ်ငွၼ	9	0.9998	ျမ္ပးမြျှုဝ္ဓှယြျှူငှ္မ	diff	Z	1	ျမ္ပးမြျှုဝ္ဓှယြျှူင္မှ	diff					
ေရႊေစ်း	9	0.9953	ရွှေဈေး	diff	Z	0.9999999192	ရွှေစျေး	diff					
ေမျမင့္မိုရ္	9	1	မေမြင့်မိုရ်	diff	Z	1	မြေမင့်မိုရ်	diff					
ၼွင်ႉယႃႇၶဝ်ႈမႃးၸမ်	9	4.13E-19	္မှငျှူယြှ္ဓဝျှုမြး္ပမျ	diff	U	7.38E-37	္မှငျှူယြ္ဓှဝျှုမြး္ပမျ	diff					
သဇင္၄	9	1	သဇင်၎	diff	Z	0.9999999986	သဇင်၄	diff					
ေန႕စဥ္သတင္း	9	1	နေ့စဉ်သတင်း	diff	Z	1	နေ့စဥ်သတင်း	diff					
စိမ့္ေနျခည္	8	1	စိမ့်နေခြည်	diff	Z	1	စိမ့်နြေခည်	diff					
မဂၤလာပါ။ MPT4U app ကို အခမဲ႕ တိုက္ရိုက္ ေဒါင္းလုပ္ျပဳလုပ္ရန္ ဤ link http://bit.ly/mpt4u-apk-dl ကို ႏိွပ္ပါ။အေသးစိတ္ သိ���ိွရန္ :  http://bit.ly/mpt4u-app-pg	8	1	မင်္ဂလာပါ။ MPT4U app ကို အခမဲ့ တိုက်ရိုက် ဒေါင်းလုပ်ပြုလုပ်ရန် ဤ link http://bit.ly/mpt4u-apk-dl ကိ�� နှိပ်ပါ။အသေးစိတ် သိရှိရန် :  http://bit.ly/mpt4u-app-pg	diff	Z	1	မင်္ဂလာပါ။ MPT4U app ကို အခမဲ့ တိုက်ရိုက် ဒေါင်းလုပ်ပြုလုပ်ရန် ဤ link http://bit.ly/mpt4u-apk-dl ကို နှိပ်ပါ။အသေးစိတ် သိ���ှိရန် :  http://bit.ly/mpt4u-app-pg	diff					
ေပ်ာ္ရႊင္ျခင္းဝိညာဥ္	8	1	ပျော်ရွှင်ခြင်းဝိညာဉ်	diff	Z	1	ပျော်ရွှင်ခြင်းဝိညာဥ်	diff					
ေဖျမင့္	8	1	ဖေမြင့်	diff	Z	1	ဖြေမင့်	diff					
ကညနယဥ္သက္တန္းတိုး	8	1	ကညနယဉ်သက်တန်းတိုး	diff	Z	1	ကညနယဥ်သက်တန်းတိုး	diff					
ေလျပြန္အိပ္ Oxygen နဲ႔ ထည့္ၿပီထုပ္လာတာလား ဒါမွမဟုတ္ ေမ့ေဆးေပးၿပီး ဒီနည္းလမ္းအတိုင္ သယ္ထုပ္လာတ��လား အသိက်မသိရေသးေပးမဲ့ ကေလးေတြကုိ ဘယ္လို နည္းနဲ႔သယ္ထုပ္သယ္ထုပ္ ထိုင္းက ဘုရင္နဲ႔ အစိုးရကုိ အရမ္း ေလစာဂုဏ္ျပဳပါတယ္။	8	1	လေပြွန်အိပ် Oxygen နဲ့ ထည့်ပြီထုပ်လာတာလား ဒါမှမဟုတ် မေ့ဆေးပေးပြီး ဒီနည်းလမ်းအတိုင် သယ်ထုပ်လာတာလား အသိကျမသိရသေးပေးမဲ့ ကလေးတွေကို ဘယ်လို နည်းနဲ့သယ်ထုပ်သယ်ထုပ် ထိုင်းက ဘုရင်နဲ့ အစိုးရကို အရမ်း လေစာဂုဏ်ပြုပါတယ်။	diff	Z	1	လြေပွန်အိပ် Oxygen နဲ့ ထည့်ပြီထုပ်လာတာလား ဒါမှမဟုတ် မေ့ဆေးပေးပြီး ဒီနည်းလမ်းအတိုင် သယ်ထုပ်လာတ��လား အသိကျမသိရသေးပေးမဲ့ ကလေးတွေကို ဘယ်လို နည်းနဲ့သယ်ထုပ်သယ်ထုပ် ထိုင်းက ဘုရင်နဲ့ အစိုးရကို အရမ်း လေစာဂုဏ်ပြုပါတယ်။	diff					
ယခုလ ထီေပါက္စဥ္	8	1	ယခုလ ထီပေါက်စဉ်	diff	Z	1	ယခုလ ထီပေါက်စဥ်	diff					
စပြန္​စာ​ေပး​ေသာ မမ ၊အန္​တီ မ်ားႏွင္​့ ခ်ိတ္​ဆက္​၊ ႐ွာ​ေဖြ​ေရး angcny	7	1	စပွန်​စာ​ပေး​သော မမ ၊အန��​တီ များနှင့် ချိတ်​ဆက်​၊ ရှာ​ဖွေ​ရေး angcny	diff	Z	1	စပွန်​စာ​ပေး​သော မမ ၊အန်​တီ များနှင့်​ ချိတ်​ဆက်​၊ ရှာ​ဖွေ​ရေး angcny	diff					
ေအလာေလယာဥ္ကြင္း	7	1	အေလာလေယာဉ်ကွင်း	diff	Z	1	အေလာလေယာဥ်ကွင်း	diff					
nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnsssssssssssssssလလလလလလလလလလလလလလလလလလလလလလလလလလလလစစလလလလလလလ��လလလ	7	2.64E-42	nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnsssssssssssssssလလလလလလလလလလလလလလလလလလလလလလလလလလလလစစလလလလလလလလလလလ	same	U	1	nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnsssssssssssssssလလလလလလလလလလလလလလလလလလလလလလလလလလလလစစလလလလလလလ��လလလ	same					
ေ၀လ mp3 download	7	0.9911	ဝေလ mp3 download	diff	Z	0.9976689635	ေဝလ mp3 download	diff					
ျမန္မာသံဇဥ္သီခ်င္း	7	1	မြန်မာသံဇဉ်သီချင်း	diff	Z	1	မြန်မာသံဇဥ်သီချင်း	diff					
ယဥ္သူထိုက္ ပိုးထည္	7	1	ယဉ်သူထိုက် ပိုးထည်	diff	Z	1	ယဥ်သူထိုက် ပိုးထည်	diff					
၀လုံး​ေလး	7	0.998	၀လုံး​လေး	diff	Z	0.9999930508	ဝလုံး​လေး	diff					
ေအျမတ္သူ	7	1	အေမြတ်သူ	diff	Z	1	အြေမတ်သူ	diff					
2018 လစဥ္ေဒတာ	7	1	2018 လစဉ်ဒေတာ	diff	Z	0.9999999998	2018 လစဥ်ဒေတာ	diff					
ယာဥ္ေမာင္းလိုင္စင္	7	1	ယာဉ်မောင်းလိုင်စင်	diff	Z	1	ယာဥ်မောင်းလိုင်စင်	diff					
ေမလသံစဥ္	7	1	မေလသံစဉ်	diff	Z	1	မေလသံစဥ်	diff					
အရှေ့တောင်အာရှ	6	3.12E-18	အရှေ့တောငျအာရှ	diff	U	3.57E-24	အရှတေ့ောငျအာရှ	diff					
သစ္ထူလြင္ ေန႔စဥ္သတင္း	6	1	သစ်ထူလွင် နေ့စဉ်သတင်း	diff	Z	1	သစ်ထူလွင် နေ့စဥ်သတင်း	diff					
ထီေပါက္စဥ္ ၅ ႀကိမ္ေျမာက္	6	1	ထီပေါက်စဉ် ၅ ကြိမ်မြောက်	diff	Z	1	ထီပေါက်စဥ် ၅ ကြိမ်မြောက်	diff					
aung htet ကိုယ့္ရဲ ့ခ်စ္သူgfatt	6	1	aung htet ကိုယ့်ရဲ့ချစ်သူgfatt	diff	Z	1	aung htet ကိုယ့်ရဲ့ ချစ်သူgfatt	diff					
ျမန္မာသံစဥ္mp3	6	1	မြန်မာသံစဉ်mp3	diff	Z	1	မြန်မာသံစဥ်mp3	diff					
ေန့စဥ္သတင္း	6	1	နေ့စဉ်သတင်း	diff	Z	1	နေ့စဥ်သတင်း	diff					
ျမန္မာနိုင္ငံပုဂံေရွးေဟာင္းေစတီမ်ားအေၾကာင္း	6	1	မြန်မာနိုင်ငံပုဂံရှေးဟောင်းစေတီများအကြော���်း	diff	Z	1	မြန်မာနိုင်ငံပုဂံရှေးဟောင်းစေတီများအကြောင်း	diff					
ေ၀လ mp4	6	0.9911	ဝေလ mp4	diff	Z	0.9976689635	ေဝလ mp4	diff					
ရိုးရွင္းေသာအဂၤလိပ္ဝါက်မ်ားကိုယ္တိုင္တည္ေဆာက္ျခင္း	6	1	ရိုးရှင်းသောအင်္ဂလိပ်ဝါကျများကိုယ���တိုင်တည်ဆောက်ခြင်း	diff	Z	1	ရိုးရှင်းသောအင်္ဂလိပ်ဝါကျများကိုယ်တိုင်တည်ဆောက်ခြင်း	diff					
ပစ္တိုင္းေထာင္ေတးဥယ်ာဥ္mp3	6	1	ပစ်တိုင်းထောင်တေးဥယျာဉ်mp3	diff	Z	1	ပစ်တိုင်းထောင်တေးဥယျာဥ်mp3	diff					
​ေ၀လ	6	0.9911	​ဝေလ	diff	Z	0.9263284167	ေဝလ	diff					
​ေအာစာအုပ္​စဥ္​	6	1	​အောစာအုပ်​စဉ်​	diff	Z	1	​အောစာအုပ်​စဥ်​	diff					
လြတ္လပ္သလိုေနပါေပ်ာ္မယ့္ေနရာမွာေနပါငါလဲေ႐ွ႕ေလ်ွာက္တေယာက္တည္းေနဖစ္ေတာ့မွာမို႔လို႔ပါ 🙂英���	6	1	လွတ်လပ်သလိုနေပါပျော်မယ့်နေရာမှာနေပါငါလဲရှေ့လျှောက်တယောက်တည်းနေဖစ်တော့မှာမို့လို့ပါ ����英文	diff	Z	1	လွတ်လပ်သလိုနေပါပျော်မယ့်နေရာမှာနေပါငါလဲရှေ့လျှောက်တယောက်တည်းနေဖစ်တော့မှာမို့လို့ပါ 🙂英���	diff					
ဒီ​ေနျမန္​မာ​ေဘာပြဲရိွလားဘယ္​အခ်ိန္​လည္​း	6	1	ဒီ​နေမြန်​မာ​ဘောပွဲရှိလားဘယ်​အချိန်​လည်း	diff	Z	1	ဒီ​နြေမန်​မာ​ဘောပွဲရှိလားဘယ်​အချိန်​လည်း	diff					
www ့shuanghor ့com ့my	6	0.9997	www့shuanghor့com့my	diff	Z	0.9999839465	www့ shuanghor့ com့ my	diff					
အား​ေသၿပီ	6	1	အား​သေပြီ	diff	Z	0.9999998279	အား​သြေပီ	diff					
တြံေတးသိန္းတန္(ေဆာင္းရယ္ ႏွင္းရယ္ ကိုယ့္ခ်စ္သူရယ္က	6	1	တွံတေးသိန်းတန်(ဆောင်းရယ် နှင်းရယ် ကို���့်ချစ်သူရယ်က	diff	Z	1	တွံတေးသိန်းတန်(ဆောင်းရယ် နှင်းရယ် ကိုယ့်ချစ်သူရယ်က	diff					
